shelter_name,region,count,long_term,adopted,species,image_url,care_reg_no,careAddr,lat,lon
영월군 동물보호센터,강원특별자치도,12,12.0,9.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/20240701160724.jpg,342427000000000.0,강원특별자치도 영월군 남면 갈골길 12  영월군 동물보호센터,37.20924847,128.4128208
영주시 동물보호센터,경상북도,33,33.0,5.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406301506211.jpg,,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,36.77232222,128.5939581
영천유기동물보호센터,경상북도,47,47.0,12.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/20240702180761.jpg,,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",35.99091892,128.9259658
예산동물보호센터,충청남도,61,61.0,15.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406302106852.jpg,,충청남도 예산군 예산읍 아리랑로 236  지하1층,36.6810297,126.8521618
예천군유기동물보호소,경상북도,27,27.0,15.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202407011607693.jpeg,,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소) ",36.67484912,128.4762485
오산 유기동물보호소,경기도,25,25.0,5.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406281206939.jpg,,경기도 오산시 성호대로 36 (오산동) ,37.14908593,127.0652033
옥천동물병원,충청북도,43,43.0,20.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/20240626170631.jpg,343443000000000.0,"충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원",36.30304794,127.5687779
와우동물병원,,0,,,,,331373000000000.0,,0.0,0.0
완주군유기동물보호소,전라북도,5,5.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406271106670.jpeg,345472000000000.0,전라북도 완주군 용진읍 순지2길 187-6  ,35.94189742,127.1903233
용인시 동물보호센터,경기도,62,62.0,27.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406281506620.jpg,,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,37.24302011,127.1612971
우리동물병원,인천광역시,93,93.0,34.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/20240629170660.jpg,328356000000000.0,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,37.54888842,126.6766991
